ID,新闻标题,发布时间,新闻链接
14,习近平在上海考察时强调 全面践行人民城市理念 高质量推进城市更新,2026-07-15,https://www.gov.cn/yaowen/liebiao/202607/content_7075606.htm
15,习近平：在庆祝中国共产党成立105周年大会上的讲话,2026-07-15,https://www.gov.cn/yaowen/liebiao/202607/content_7075577.htm
16,《求是》杂志发表习近平总书记重要文章《在庆祝中国共产党成立105周年大会上的讲话》,2026-07-15,https://www.gov.cn/yaowen/liebiao/202607/content_7075573.htm
17,习近平《在国家科学技术奖励大会、两院院士大会、中国科协第十一次全国代表大会上的讲话》单行本出版,2026-07-14,https://www.gov.cn/yaowen/liebiao/202607/content_7075394.htm
18,习近平将出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,2026-07-13,https://www.gov.cn/yaowen/liebiao/202607/content_7075205.htm
19,习近平同朝鲜劳动党总书记、国务委员会委员长金正恩就《中朝友好合作互助条约》签订65周年互致贺电,2026-07-11,https://www.gov.cn/yaowen/liebiao/202607/content_7075063.htm
20,习近平同纳米比亚总统恩代特瓦会谈,2026-07-10,https://www.gov.cn/yaowen/liebiao/202607/content_7074978.htm
21,《求是》杂志发表习近平总书记重要文章《做焦裕禄式的县委书记》,2026-06-30,https://www.gov.cn/yaowen/liebiao/202606/content_7073766.htm
22,庆祝中国共产党成立105周年音乐会《人民至上》在京举行 习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正出席观看,2026-06-29,https://www.gov.cn/yaowen/liebiao/202606/content_7073700.htm
23,庆祝中国共产党成立105周年大会7月1日上午在京隆重举行 习近平将向“七一勋章”获得者颁授勋章并发表重要讲话,2026-06-29,https://www.gov.cn/yaowen/liebiao/202606/content_7073660.htm
24,习近平会见白俄罗斯总统卢卡申科,2026-06-29,https://www.gov.cn/yaowen/liebiao/202606/content_7073611.htm
25,永远把伟大建党精神继承下去、发扬光大——习近平总书记引领弘扬光荣传统、赓续红色血脉,2026-06-29,https://www.gov.cn/yaowen/liebiao/202606/content_7073600.htm
26,中华人民共和国主席令（第七十九号）,2026-06-26,https://www.gov.cn/yaowen/liebiao/202606/content_7073454.htm
27,中华人民共和国主席令（第七十八号）,2026-06-26,https://www.gov.cn/yaowen/liebiao/202606/content_7073453.htm
28,中华人民共和国主席令（第七十七号）,2026-06-26,https://www.gov.cn/yaowen/liebiao/202606/content_7073450.htm
29,习近平就委内瑞拉发生强烈地震向委内瑞拉代总统罗德里格斯致慰问电,2026-06-26,https://www.gov.cn/yaowen/liebiao/202606/content_7073425.htm
30,习近平会见柬埔寨人民党主席、参议院主席洪森,2026-06-26,https://www.gov.cn/yaowen/liebiao/202606/content_7073363.htm
31,习近平会见孟加拉国总理塔里克,2026-06-26,https://www.gov.cn/yaowen/liebiao/202606/content_7073359.htm
32,“在党的领导下把家园建设得越来越美”——习近平总书记在山东德州考察纪实,2026-06-25,https://www.gov.cn/yaowen/liebiao/202606/content_7073301.htm
33,习近平在山东德州考察时强调 以扎实举措推进农业农村现代化 用勤劳和智慧创造更加美好生活,2026-06-24,https://www.gov.cn/yaowen/liebiao/202606/content_7073194.htm
34,《习近平党建文选》第一卷、第二卷主要篇目介绍,2026-06-23,https://www.gov.cn/yaowen/liebiao/202606/content_7073084.htm
35,《习近平党建文选》第一卷、第二卷出版发行,2026-06-23,https://www.gov.cn/yaowen/liebiao/202606/content_7073073.htm
36,总书记的人民情怀 | “必须把我们党建设好、建设强”,2026-06-22,https://www.gov.cn/yaowen/liebiao/202606/content_7072818.htm
37,习近平给新华社老党员张连生的回信,2026-06-18,https://www.gov.cn/yaowen/liebiao/202606/content_7072587.htm
38,习近平给新华社老党员张连生回信强调 传承红色基因 在新征程上书写优异答卷,2026-06-18,https://www.gov.cn/yaowen/liebiao/202606/content_7072584.htm
39,习近平对常态化做好东西部协作工作作出重要指示,2026-06-17,https://www.gov.cn/yaowen/liebiao/202606/content_7072506.htm
40,习近平同缅甸总统敏昂莱会谈,2026-06-16,https://www.gov.cn/yaowen/liebiao/202606/content_7072296.htm
41,习近平党建思想指引强党强国之路,2026-06-15,https://www.gov.cn/yaowen/liebiao/202606/content_7072199.htm
42,不断开辟百年大党管党治党、兴党强党新境界——深入学习领会习近平党建思想,2026-06-15,https://www.gov.cn/yaowen/liebiao/202606/content_7072195.htm
43,习近平：一体推进教育科技人才发展,2026-06-15,https://www.gov.cn/yaowen/liebiao/202606/content_7072132.htm
44,《求是》杂志发表习近平总书记重要文章《一体推进教育科技人才发展》,2026-06-15,https://www.gov.cn/yaowen/liebiao/202606/content_7072129.htm
45,守护好中华民族的文化瑰宝——习近平文化思想指引我国文化遗产保护传承工作高质量发展,2026-06-13,https://www.gov.cn/yaowen/liebiao/202606/content_7071986.htm
46,文脉长存 瑰宝长青——在习近平文化思想引领下文化和自然遗产保护传承利用工作开创新局面,2026-06-13,https://www.gov.cn/yaowen/liebiao/202606/content_7071972.htm
47,《习近平外交文选》第一卷、第二卷主要篇目介绍,2026-06-11,https://www.gov.cn/yaowen/liebiao/202606/content_7071836.htm
48,《习近平外交文选》第一卷、第二卷出版发行,2026-06-11,https://www.gov.cn/yaowen/liebiao/202606/content_7071837.htm
49,让中朝传统友谊之树更加根深叶茂——习近平总书记对朝鲜进行国事访问纪实,2026-06-10,https://www.gov.cn/yaowen/liebiao/202606/content_7071776.htm
50,守护蔚蓝 向海图强——习近平总书记关于推动海洋经济高质量发展重要论述引领海洋强国建设,2026-06-10,https://www.gov.cn/yaowen/liebiao/202606/content_7071738.htm
51,习近平结束对朝鲜国事访问回到北京,2026-06-09,https://www.gov.cn/yaowen/liebiao/202606/content_7071621.htm
52,习近平出席金正恩举行的欢送仪式,2026-06-09,https://www.gov.cn/yaowen/liebiao/202606/content_7071619.htm
53,习近平夫妇出席金正恩夫妇举行的小范围午宴,2026-06-09,https://www.gov.cn/yaowen/liebiao/202606/content_7071615.htm
54,习近平同格鲁吉亚总统卡韦拉什维利就中格建交34周年互致贺电并共同宣布将双边关系提升为全面战略伙伴关系,2026-06-09,https://www.gov.cn/yaowen/liebiao/202606/content_7071578.htm
55,习近平参访朝鲜劳动党中央干部学校,2026-06-09,https://www.gov.cn/yaowen/liebiao/202606/content_7071564.htm
56,习近平和彭丽媛参谒中朝友谊塔,2026-06-09,https://www.gov.cn/yaowen/liebiao/202606/content_7071562.htm
57,习近平向加拿大新任总督路易丝·阿伯致贺电,2026-06-09,https://www.gov.cn/yaowen/liebiao/202606/content_7071551.htm
58,习近平和彭丽媛观看朝鲜专场文艺演出,2026-06-08,https://www.gov.cn/yaowen/liebiao/202606/content_7071529.htm
59,习近平出席金正恩举行的欢迎宴会,2026-06-08,https://www.gov.cn/yaowen/liebiao/202606/content_7071505.htm
60,习近平同金正恩举行会谈,2026-06-08,https://www.gov.cn/yaowen/liebiao/202606/content_7071471.htm
61,习近平出席金正恩举行的欢迎仪式,2026-06-08,https://www.gov.cn/yaowen/liebiao/202606/content_7071434.htm
62,习近平抵达平壤开始对朝鲜进行国事访问,2026-06-08,https://www.gov.cn/yaowen/liebiao/202606/content_7071431.htm
63,习近平离京对朝鲜进行国事访问,2026-06-08,https://www.gov.cn/yaowen/liebiao/202606/content_7071418.htm
64,习近平在朝鲜媒体发表署名文章,2026-06-08,https://www.gov.cn/yaowen/liebiao/202606/content_7071403.htm
65,“农业农村是大有可为的广阔天地”——习近平总书记关于“三农”重要论述引领农业强国建设,2026-06-07,https://www.gov.cn/yaowen/liebiao/202606/content_7071380.htm
66,习近平同老挝人民革命党中央总书记、国家主席通伦举行会谈,2026-06-05,https://www.gov.cn/yaowen/liebiao/202606/content_7071268.htm
67,习近平将对朝鲜民主主义人民共和国进行国事访问,2026-06-05,https://www.gov.cn/yaowen/liebiao/202606/content_7071090.htm
68,共建天蓝地绿水清的美丽家园——践行习近平生态文明思想的时代答卷,2026-06-05,https://www.gov.cn/yaowen/liebiao/202606/content_7071077.htm
69,总书记的人民情怀 | “推进中国式现代化，要把水资源问题考虑进去”,2026-06-05,https://www.gov.cn/yaowen/liebiao/202606/content_7071075.htm
70,总书记的人民情怀 | “中国可以成功，其他发展中国家同样可以成功”,2026-06-04,https://www.gov.cn/yaowen/liebiao/202606/content_7071039.htm
71,以开放创新应对全球贸易变局——践行习近平经济思想推动贸易强国建设迈出新步伐,2026-06-03,https://www.gov.cn/yaowen/liebiao/202606/content_7070964.htm
72,创造属于我们这个时代的新文化——习近平文化思想引领文化传承发展开创新局面,2026-06-01,https://www.gov.cn/yaowen/liebiao/202606/content_7070850.htm
73,守护童心 筑梦未来——习近平总书记的深情寄望鼓舞新时代少年儿童成长成才,2026-06-01,https://www.gov.cn/yaowen/liebiao/202606/content_7070741.htm
74,《习近平法治文选》第一卷英文版出版发行,2026-05-31,https://www.gov.cn/yaowen/liebiao/202605/content_7070725.htm
75,习近平：前瞻布局和发展未来产业,2026-05-31,https://www.gov.cn/yaowen/liebiao/202605/content_7070720.htm
76,习近平给中共一大纪念馆、南湖革命纪念馆少先队红领巾讲解员的回信,2026-05-31,https://www.gov.cn/yaowen/liebiao/202605/content_7070716.htm
77,习近平回信勉励中共一大纪念馆、南湖革命纪念馆少先队红领巾讲解员 传承红色基因增长知识本领 在新征程上跑好历史接力赛 祝全国小朋友们“六一”国际儿童节快乐,2026-05-31,https://www.gov.cn/yaowen/liebiao/202605/content_7070715.htm
78,《求是》杂志发表习近平总书记重要文章《前瞻布局和发展未来产业》,2026-05-31,https://www.gov.cn/yaowen/liebiao/202605/content_7070713.htm
79,“科技兴则民族兴，科技强则国家强”——习近平总书记重要论述指引科技强国建设,2026-05-30,https://www.gov.cn/yaowen/liebiao/202605/content_7070694.htm
80,习近平同埃及总统塞西就中埃建交70周年互致贺电,2026-05-30,https://www.gov.cn/yaowen/liebiao/202605/content_7070675.htm
81,习近平复信参加“共航蔚蓝：中美青年友谊行”活动的两国学生,2026-05-28,https://www.gov.cn/yaowen/liebiao/202605/content_7070492.htm
82,习近平同苏里南总统西蒙斯就中苏建交50周年互致贺电,2026-05-28,https://www.gov.cn/yaowen/liebiao/202605/content_7070481.htm
83,习近平同奥地利总统范德贝伦就中奥建交55周年互致贺电,2026-05-28,https://www.gov.cn/yaowen/liebiao/202605/content_7070479.htm
84,总书记的人民情怀 | “必须深刻把握中国式现代化对教育、科技、人才的需求”,2026-05-28,https://www.gov.cn/yaowen/liebiao/202605/content_7070448.htm
85,习近平为塞尔维亚总统武契奇举行“友谊勋章”颁授仪式,2026-05-25,https://www.gov.cn/yaowen/liebiao/202605/content_7070194.htm
86,习近平同塞尔维亚总统武契奇会谈,2026-05-25,https://www.gov.cn/yaowen/liebiao/202605/content_7070179.htm
87,习近平会见巴基斯坦总理夏巴兹,2026-05-25,https://www.gov.cn/yaowen/liebiao/202605/content_7070158.htm
88,《习近平谈治国理政》第五卷法俄阿等文版及中文繁体版出版发行,2026-05-25,https://www.gov.cn/yaowen/liebiao/202605/content_7070132.htm
89,习近平对山西长治市沁源县一煤矿瓦斯爆炸事故作出重要指示,2026-05-23,https://www.gov.cn/yaowen/liebiao/202605/content_7070013.htm
90,共建万物和谐的美丽家园——习近平生态文明思想引领生物多样性保护事业开创新局面,2026-05-22,https://www.gov.cn/yaowen/liebiao/202605/content_7069989.htm
91,习近平同巴基斯坦总统扎尔达里就中巴建交75周年互致贺电,2026-05-21,https://www.gov.cn/yaowen/liebiao/202605/content_7069822.htm
92,习近平同俄罗斯总统普京茶叙,2026-05-20,https://www.gov.cn/yaowen/liebiao/202605/content_7069781.htm
93,习近平同俄罗斯总统普京共同参观“传承中俄世代友好 树立大国关系典范”图片展,2026-05-20,https://www.gov.cn/yaowen/liebiao/202605/content_7069716.htm
94,习近平同俄罗斯总统普京会谈,2026-05-20,https://www.gov.cn/yaowen/liebiao/202605/content_7069661.htm
95,习近平同俄罗斯总统普京共同出席“中俄教育年”开幕式并致辞,2026-05-20,https://www.gov.cn/yaowen/liebiao/202605/content_7069697.htm
96,习近平同俄罗斯总统普京共同会见记者,2026-05-20,https://www.gov.cn/yaowen/liebiao/202605/content_7069677.htm
97,走出一条独具特色的中国旅游发展之路——习近平文化思想引领旅游强国建设,2026-05-19,https://www.gov.cn/yaowen/liebiao/202605/content_7069398.htm
98,习近平就推动哲学社会科学高质量发展作出重要指示,2026-05-17,https://www.gov.cn/yaowen/liebiao/202605/content_7069131.htm
99,习近平同俄罗斯总统普京分别向第十届中俄博览会致贺信,2026-05-17,https://www.gov.cn/yaowen/liebiao/202605/content_7069128.htm
100,【微镜头·中美元首在北京举行会谈】“让2026年成为中美关系继往开来的历史性、标志性年份”,2026-05-16,https://www.gov.cn/yaowen/liebiao/202605/content_7069056.htm
101,习近平：做强做优做大实体经济,2026-05-15,https://www.gov.cn/yaowen/liebiao/202605/content_7068939.htm
102,《求是》杂志发表习近平总书记重要文章《做强做优做大实体经济》,2026-05-15,https://www.gov.cn/yaowen/liebiao/202605/content_7068937.htm
103,习近平同美国总统特朗普在中南海小范围会晤,2026-05-15,https://www.gov.cn/yaowen/liebiao/202605/content_7068921.htm
104,“需要共同书写的时代答卷”——习近平主席同特朗普总统会晤侧记,2026-05-15,https://www.gov.cn/yaowen/liebiao/202605/content_7068870.htm
105,习近平为美国总统特朗普举行欢迎宴会,2026-05-14,https://www.gov.cn/yaowen/liebiao/202605/content_7068804.htm
106,习近平同美国总统特朗普参观天坛,2026-05-14,https://www.gov.cn/yaowen/liebiao/202605/content_7068748.htm
107,习近平同美国总统特朗普会谈,2026-05-14,https://www.gov.cn/yaowen/liebiao/202605/content_7068733.htm
108,习近平会见随同美国总统特朗普访华的美国企业家,2026-05-14,https://www.gov.cn/yaowen/liebiao/202605/content_7068725.htm
109,总书记的人民情怀 | 为推进中国式现代化广泛凝聚力量,2026-05-14,https://www.gov.cn/yaowen/liebiao/202605/content_7068674.htm
110,习近平同塔吉克斯坦总统拉赫蒙会谈,2026-05-12,https://www.gov.cn/yaowen/liebiao/202605/content_7068513.htm
111,习近平会见联合国教科文组织总干事阿纳尼,2026-05-12,https://www.gov.cn/yaowen/liebiao/202605/content_7068505.htm
112,习近平会见文莱王储比拉,2026-05-12,https://www.gov.cn/yaowen/liebiao/202605/content_7068504.htm
113,总书记的人民情怀 | “必须抓好基层治理现代化这项基础性工作”,2026-05-07,https://www.gov.cn/yaowen/liebiao/202605/content_7067924.htm
114,习近平对湖南长沙浏阳市一烟花厂爆炸事故作出重要指示,2026-05-05,https://www.gov.cn/yaowen/liebiao/202605/content_7067797.htm
115,大国之大利天下——2026年春季中国元首外交纪事,2026-05-04,https://www.gov.cn/yaowen/liebiao/202605/content_7067793.htm
116,总书记寄语广大青年建功奋进新征程,2026-05-03,https://www.gov.cn/yaowen/liebiao/202605/content_7067765.htm
117,习近平给中国青年五四奖章暨新时代青年先锋奖获奖者代表的回信,2026-05-03,https://www.gov.cn/yaowen/liebiao/202605/content_7067729.htm
118,习近平回信勉励中国青年五四奖章暨新时代青年先锋奖获奖者代表 胸怀远大理想矢志拼搏奋斗 带动广大青年把个人追求融入国家发展大局,2026-05-03,https://www.gov.cn/yaowen/liebiao/202605/content_7067728.htm
119,总书记的人民情怀 | “涉及老百姓的事情关键在实”,2026-05-03,https://www.gov.cn/yaowen/liebiao/202605/content_7067725.htm
120,总书记的人民情怀 | “稳步增进广大职工和劳动群众福祉”,2026-05-01,https://www.gov.cn/yaowen/liebiao/202605/content_7067651.htm
121,开局之年，总书记对加强基础研究作出战略部署,2026-05-01,https://www.gov.cn/yaowen/liebiao/202605/content_7067650.htm
122,“光荣属于劳动者，幸福属于劳动者”——习近平总书记同劳动者在一起的故事,2026-05-01,https://www.gov.cn/yaowen/liebiao/202605/content_7067641.htm
123,在“五一”国际劳动节到来之际 习近平向全国广大劳动群众致以节日祝贺和诚挚慰问,2026-04-30,https://www.gov.cn/yaowen/liebiao/202604/content_7067583.htm
124,习近平：在省部级主要领导干部学习贯彻党的二十届四中全会精神专题研讨班上的讲话,2026-04-30,https://www.gov.cn/yaowen/liebiao/202604/content_7067548.htm
125,《求是》杂志发表习近平总书记重要文章《在省部级主要领导干部学习贯彻党的二十届四中全会精神专题研讨班上的讲话》,2026-04-30,https://www.gov.cn/yaowen/liebiao/202604/content_7067533.htm
126,习近平在加强基础研究座谈会上强调：以更大力度更实举措加强基础研究 进一步打牢科技强国建设根基,2026-04-30,https://www.gov.cn/yaowen/liebiao/202604/content_7067520.htm
127,中华人民共和国主席令（第七十六号）,2026-04-30,https://www.gov.cn/yaowen/liebiao/202604/content_7067518.htm
128,中华人民共和国主席令（第七十五号）,2026-04-30,https://www.gov.cn/yaowen/liebiao/202604/content_7067516.htm
129,中华人民共和国主席令（第七十四号）,2026-04-30,https://www.gov.cn/yaowen/liebiao/202604/content_7067514.htm
130,总书记的人民情怀 | “高质量发展离不开高质量的劳动创造”,2026-04-30,https://www.gov.cn/yaowen/liebiao/202604/content_7067481.htm
131,习近平在中共中央政治局第二十五次集体学习时强调：着力提高防范应对自然灾害能力 切实维护人民群众生命财产安全,2026-04-29,https://www.gov.cn/yaowen/liebiao/202604/content_7067374.htm
132,习近平向上海合作组织绿色和可持续发展论坛致贺信,2026-04-29,https://www.gov.cn/yaowen/liebiao/202604/content_7067342.htm
133,中共中央政治局召开会议 分析研究当前经济形势和经济工作 中共中央总书记习近平主持会议,2026-04-28,https://www.gov.cn/yaowen/liebiao/202604/content_7067187.htm
134,总书记的人民情怀 | “中国式现代化离不开农业农村现代化”,2026-04-28,https://www.gov.cn/yaowen/liebiao/202604/content_7067173.htm
135,习近平同佛得角总统内韦斯就中佛建交50周年互致贺电,2026-04-25,https://www.gov.cn/yaowen/liebiao/202604/content_7066968.htm
136,习近平同老挝人民革命党中央委员会总书记、国家主席通伦就中老建交65周年互致贺电,2026-04-25,https://www.gov.cn/yaowen/liebiao/202604/content_7066967.htm
137,习近平向伊拉克新任总统阿米迪致贺电,2026-04-24,https://www.gov.cn/yaowen/liebiao/202604/content_7066870.htm
138,习近平致电祝贺瓦达尼当选贝宁总统,2026-04-24,https://www.gov.cn/yaowen/liebiao/202604/content_7066817.htm
139,习近平近日作出重要指示强调：把“义乌发展经验”进一步总结好运用好 探索走出符合各自实际的高质量发展之路,2026-04-23,https://www.gov.cn/yaowen/liebiao/202604/content_7066680.htm
140,习近平同莫桑比克总统查波会谈,2026-04-21,https://www.gov.cn/yaowen/liebiao/202604/content_7066525.htm
141,国家主席习近平任免驻外大使,2026-04-21,https://www.gov.cn/yaowen/liebiao/202604/content_7066516.htm
142,习近平会见老挝人民革命党中央总书记、国家主席特使沙伦赛,2026-04-21,https://www.gov.cn/yaowen/liebiao/202604/content_7066497.htm
143,总书记的人民情怀 | “中国式现代化关键在科技现代化”,2026-04-21,https://www.gov.cn/yaowen/liebiao/202604/content_7066458.htm
144,习近平同沙特王储兼首相穆罕默德通电话,2026-04-20,https://www.gov.cn/yaowen/liebiao/202604/content_7066400.htm
145,书承千年文脉 香溢万里家国——习近平文化思想引领书香社会建设,2026-04-20,https://www.gov.cn/yaowen/liebiao/202604/content_7066287.htm
146,“让互联网更好造福人民”——网络强国建设向纵深推进,2026-04-19,https://www.gov.cn/yaowen/liebiao/202604/content_7066266.htm
147,习近平致电祝贺盖莱当选连任吉布提总统,2026-04-17,https://www.gov.cn/yaowen/liebiao/202604/content_7066088.htm
148,从元首外交密集日程看中国的自信、胸怀、担当,2026-04-16,https://www.gov.cn/yaowen/liebiao/202604/content_7066001.htm
149,让中越“同志加兄弟”的深厚情谊焕发青春光彩——习近平总书记、国家主席同苏林总书记、国家主席共同会见中越青年代表侧记,2026-04-16,https://www.gov.cn/yaowen/liebiao/202604/content_7065801.htm
150,习近平同越共中央总书记、国家主席苏林举行会谈,2026-04-15,https://www.gov.cn/yaowen/liebiao/202604/content_7065680.htm
151,习近平夫妇同苏林夫妇亲切话别,2026-04-15,https://www.gov.cn/yaowen/liebiao/202604/content_7065702.htm
152,习近平同苏林共同会见中越青年代表,2026-04-15,https://www.gov.cn/yaowen/liebiao/202604/content_7065685.htm
153,习近平：推动全民阅读，建设书香社会,2026-04-15,https://www.gov.cn/yaowen/liebiao/202604/content_7065663.htm
154,《求是》杂志发表习近平总书记重要文章《推动全民阅读，建设书香社会》,2026-04-15,https://www.gov.cn/yaowen/liebiao/202604/content_7065657.htm
155,习近平会见俄罗斯外长拉夫罗夫,2026-04-15,https://www.gov.cn/yaowen/liebiao/202604/content_7065629.htm
156,习近平会见西班牙首相桑切斯,2026-04-14,https://www.gov.cn/yaowen/liebiao/202604/content_7065523.htm
157,习近平会见阿联酋阿布扎比王储哈立德,2026-04-14,https://www.gov.cn/yaowen/liebiao/202604/content_7065514.htm
158,总书记的人民情怀 | “走出一条中国特色城市现代化新路子”,2026-04-13,https://www.gov.cn/yaowen/liebiao/202604/content_7065344.htm
159,习近平向中美“乒乓外交”55周年纪念大会暨中美青少年体育交流系列活动启动仪式致贺信,2026-04-10,https://www.gov.cn/yaowen/liebiao/202604/content_7065179.htm
160,习近平总书记会见中国国民党主席郑丽文,2026-04-10,https://www.gov.cn/yaowen/liebiao/202604/content_7065151.htm
161,总书记指引开创服务业高质量发展新局面,2026-04-09,https://www.gov.cn/yaowen/liebiao/202604/content_7065070.htm
162,习近平在全军高级干部培训班开班式上发表重要讲话强调：开展思想整风 深化政治整训 以崭新政治面貌迎接建军一百周年,2026-04-08,https://www.gov.cn/yaowen/liebiao/202604/content_7064925.htm
163,习近平就服务业发展作出重要指示强调：突出需求牵引改革攻坚科技赋能开放合作 努力开创服务业高质量发展新局面,2026-04-08,https://www.gov.cn/yaowen/liebiao/202604/content_7064901.htm
164,习近平致电祝贺苏林当选越南国家主席,2026-04-07,https://www.gov.cn/yaowen/liebiao/202604/content_7064851.htm
165,习近平给四所交通大学全体师生的回信,2026-04-07,https://www.gov.cn/yaowen/liebiao/202604/content_7064833.htm
166,习近平给四所交通大学全体师生回信强调：传承弘扬西迁精神聚焦国家重大战略需求 为建设教育强国科技强国人才强国作出新贡献,2026-04-07,https://www.gov.cn/yaowen/liebiao/202604/content_7064831.htm
167,习近平：树立和践行正确政绩观,2026-03-31,https://www.gov.cn/yaowen/liebiao/202603/content_7064274.htm
168,《求是》杂志发表习近平总书记重要文章《树立和践行正确政绩观》,2026-03-31,https://www.gov.cn/yaowen/liebiao/202603/content_7064256.htm
169,习近平致电祝贺萨苏当选连任刚果（布）总统,2026-03-30,https://www.gov.cn/yaowen/liebiao/202603/content_7064206.htm
170,习近平在参加首都义务植树活动时强调：为山川大地增添锦绣 让中国式现代化底色更加亮丽,2026-03-30,https://www.gov.cn/yaowen/liebiao/202603/content_7064189.htm
171,习近平向世界数据组织成立致贺信,2026-03-30,https://www.gov.cn/yaowen/liebiao/202603/content_7064183.htm
172,中共中央和习近平总书记欢迎并邀请中国国民党主席郑丽文率团来访,2026-03-30,https://www.gov.cn/yaowen/liebiao/202603/content_7064131.htm
173,中共中央政治局召开会议 审议《中国共产党地方委员会工作条例》 中共中央总书记习近平主持会议,2026-03-27,https://www.gov.cn/yaowen/liebiao/202603/content_7063982.htm
174,总书记两会后首次考察指引“十五五”开局起步,2026-03-26,https://www.gov.cn/yaowen/liebiao/202603/content_7063799.htm
175,“千年大计”里的政绩观,2026-03-25,https://www.gov.cn/yaowen/liebiao/202603/content_7063716.htm
176,京津冀协同发展的关键落子,2026-03-25,https://www.gov.cn/yaowen/liebiao/202603/content_7063714.htm
177,“对雄安的发展前景，我们充满信心”——习近平总书记赴雄安新区考察并主持召开深入推进雄安新区高质量建设和发展座谈会纪实,2026-03-25,https://www.gov.cn/yaowen/liebiao/202603/content_7063662.htm
178,“十五五”开局之年，总书记指引雄安新区高质量建设和发展,2026-03-24,https://www.gov.cn/yaowen/liebiao/202603/content_7063579.htm
179,习近平：牢牢把握雄安新区功能定位 努力建设新时代创新高地和推动高质量发展样板,2026-03-23,https://www.gov.cn/yaowen/liebiao/202603/content_7063552.htm
180,习近平致电祝贺通伦当选连任老挝国家主席,2026-03-23,https://www.gov.cn/yaowen/liebiao/202603/content_7063541.htm
181,习近平在河北雄安新区考察,2026-03-23,https://www.gov.cn/yaowen/liebiao/202603/content_7063539.htm
182,习近平向拉美和加勒比国家共同体第十届峰会致贺电,2026-03-22,https://www.gov.cn/yaowen/liebiao/202603/content_7063423.htm
183,总书记的人民情怀 | “为民造福是最大政绩”,2026-03-20,https://www.gov.cn/yaowen/liebiao/202603/content_7063246.htm
184,习近平会见土库曼斯坦民族领袖、人民委员会主席别尔德穆哈梅多夫,2026-03-18,https://www.gov.cn/yaowen/liebiao/202603/content_7063141.htm
185,《习近平经济文选》第一卷和《习近平与大学生朋友们》第一、二卷繁体版在香港首发,2026-03-18,https://www.gov.cn/yaowen/liebiao/202603/content_7063122.htm
186,总书记的人民情怀 | “干事创业一定要树立正确政绩观”,2026-03-18,https://www.gov.cn/yaowen/liebiao/202603/content_7063110.htm
187,国家主席习近平任免驻外大使,2026-03-17,https://www.gov.cn/yaowen/liebiao/202603/content_7063069.htm
188,总书记的人民情怀 | “政绩观问题是一个根本性问题”,2026-03-17,https://www.gov.cn/yaowen/liebiao/202603/content_7063106.htm
189,习近平：推动海洋经济高质量发展,2026-03-15,https://www.gov.cn/yaowen/liebiao/202603/content_7062710.htm
190,《求是》杂志发表习近平总书记重要文章《推动海洋经济高质量发展》,2026-03-15,https://www.gov.cn/yaowen/liebiao/202603/content_7062707.htm
191,蓝图已经绘就 奋进正当其时——习近平总书记同出席2026年全国两会人大代表、政协委员共商国是纪实,2026-03-12,https://www.gov.cn/yaowen/liebiao/202603/content_7062484.htm
192,中华人民共和国主席令（第七十三号）,2026-03-12,https://www.gov.cn/yaowen/liebiao/202603/content_7062447.htm
193,中华人民共和国主席令（第七十二号）,2026-03-12,https://www.gov.cn/yaowen/liebiao/202603/content_7062445.htm
